Time(ms),Time(s),gyro_x,gyro_y,gyro_z
1499000695917, 22773.254838455003, -0.5375824, -0.06513977, -0.07545471
1499000695939, 22773.275010574, -0.3288269, -0.15264893, 0.020751953
1499000695959, 22773.295182693, -0.046325684, -0.10865784, 0.06854248
1499000695979, 22773.315293777003, 0.13739014, -0.020401001, 0.086257935
1499000695999, 22773.335465896, 0.19923401, -0.035064697, 0.0708313
1499000696019, 22773.355564861, 0.26445007, -0.09307861, 0.042282104
1499000696039, 22773.375675945, 0.30827332, -0.1288147, -0.015136719
1499000696059, 22773.395848065, 0.33805847, -0.123931885, -0.062942505
1499000696079, 22773.415989666002, 0.3713379, -0.04360962, -0.12173462
1499000696099, 22773.436131268, 0.38172913, -0.033676147, -0.17059326
1499000696119, 22773.456272869, 0.3464508, -0.09277344, -0.28588867
1499000696140, 22773.476414471002, 0.27070618, -0.1346283, -0.34422302
1499000696160, 22773.496556072, 0.22215271, -0.011993408, -0.35049438
1499000696181, 22773.516667156, 0.13143921, 0.21798706, -0.30238342
1499000696201, 22773.536839275002, 0.14640808, 0.24882507, -0.26771545
1499000696220, 22773.556980877, 0.17160034, 0.004348755, -0.4447174
1499000696264, 22773.577091961, -0.2020874, -0.0819397, -0.6976013
1499000696264, 22773.597233563003, -0.5746918, -0.1161499, -0.7472229
1499000696279, 22773.617375164, -0.48719788, -0.26457214, -0.565506
1499000696299, 22773.637516766, -0.09396362, -0.27130127, -0.44578552
1499000696318, 22773.657688885003, 0.12409973, -0.18991089, -0.2913971
1499000696341, 22773.677830486, 0.24124146, -0.1764679, -0.35476685
1499000696360, 22773.697972088, 0.04866028, -0.07980347, -0.52427673
1499000696379, 22773.71811369, -0.14985657, 0.033813477, -0.5983429
1499000696399, 22773.738224773002, -0.2688141, 0.11489868, -0.5456543
1499000696420, 22773.758396893, -0.21032715, 0.1020813, -0.43371582
1499000696440, 22773.778507977, -0.097473145, 0.11367798, -0.37034607
1499000696460, 22773.798680096002, -0.07395935, 0.062057495, -0.326828
1499000696480, 22773.818821697, -0.029205322, 0.016403198, -0.25779724
1499000696500, 22773.838963299, 0.08409119, 0.018539429, -0.2164154
1499000696520, 22773.859104900002, 0.11723328, 0.06573486, -0.16296387
1499000696542, 22773.879246502, 0.12226868, 0.13032532, -0.24420166
1499000696563, 22773.899388104, 0.09890747, 0.12528992, -0.41889954
1499000696583, 22773.919529705003, 0.11845398, 0.15750122, -0.5309906
1499000696603, 22773.939640789, 0.27070618, 0.24043274, -0.5337372
1499000696623, 22773.959812908, 0.42189026, 0.25019836, -0.54901123
1499000696643, 22773.979954510003, 0.46540833, 0.19506836, -0.6084137
1499000696663, 22774.000096111, 0.39624023, 0.21339417, -0.7027893
1499000696683, 22774.020237713, 0.22398376, 0.4313202, -0.6930237
