Time(ms),Time(s),acce_x,acce_y,acce_z
1499429600706, 294514.34707229404, 0.6217346, 1.6543884, 9.69191
1499429600726, 294514.367213895, 0.5432892, 1.6543884, 9.672302
1499429600745, 294514.387355497, 0.5432892, 1.6151733, 9.633072
1499429600766, 294514.407527616, 0.5628967, 1.5367126, 9.73114
1499429600788, 294514.4276387, 0.52368164, 1.5171051, 9.946884
1499429600806, 294514.447810819, 0.50405884, 1.5171051, 9.868423
1499429600827, 294514.467921903, 0.50405884, 1.5367126, 9.848816
1499429600846, 294514.48806350504, 0.4648285, 1.575943, 9.829208
1499429600866, 294514.508205106, 0.4059906, 1.6151733, 9.770355
1499429600888, 294514.52834670804, 0.4059906, 1.5955505, 9.770355
1499429600907, 294514.548488309, 0.4256134, 1.575943, 9.593842
1499429600929, 294514.568629911, 0.44522095, 1.5955505, 9.574234
1499429600950, 294514.588771513, 0.4844513, 1.5171051, 9.672302
1499429600970, 294514.608913114, 0.4844513, 1.4778748, 9.770355
1499429600987, 294514.62905471603, 0.58251953, 1.5171051, 9.809586
1499429601008, 294514.649226835, 0.5432892, 1.575943, 9.750748
1499429601031, 294514.66933791904, 0.4844513, 1.5955505, 9.809586
1499429601047, 294514.689510038, 0.4059906, 1.575943, 9.770355
1499429601071, 294514.709621122, 0.4648285, 1.6740112, 9.73114
1499429601087, 294514.729762724, 0.4256134, 1.575943, 9.848816
1499429601107, 294514.749904325, 0.44522095, 1.5955505, 9.966492
1499429601128, 294514.770045927, 0.6217346, 1.5955505, 9.946884
1499429601148, 294514.790187528, 0.5628967, 1.5563354, 9.927261
1499429601168, 294514.81032913004, 0.5432892, 1.5367126, 9.888046
1499429601188, 294514.830470731, 0.52368164, 1.5563354, 9.69191
1499429601208, 294514.85061233304, 0.52368164, 1.6740112, 9.515396
1499429601229, 294514.870753934, 0.58251953, 1.7328491, 9.495773
1499429601248, 294514.890895536, 0.5432892, 1.6347809, 9.535004
1499429601270, 294514.911037138, 0.4844513, 1.6151733, 9.652679
1499429601289, 294514.931178739, 0.4844513, 1.6543884, 9.809586
1499429601311, 294514.95132034103, 0.5432892, 1.6740112, 9.907654
1499429601336, 294514.971461942, 0.52368164, 1.5955505, 9.829208
1499429601349, 294514.99160354404, 0.5432892, 1.575943, 9.829208
1499429601369, 294515.011745145, 0.5628967, 1.5955505, 9.848816
1499429601389, 294515.031886747, 0.5628967, 1.5955505, 9.73114
1499429601409, 294515.052028349, 0.52368164, 1.5955505, 9.69191
1499429601431, 294515.07217065804, 0.5628967, 1.6151733, 9.69191
1499429601450, 294515.09231226, 0.58251953, 1.6151733, 9.73114
1499429601470, 294515.11245386105, 0.6021271, 1.6347809, 9.770355
1499429601490, 294515.13256494503, 0.68058777, 1.6543884, 9.829208
1499429601510, 294515.152737064, 0.7001953, 1.6740112, 9.789978
1499429601531, 294515.172878666, 0.6021271, 1.6543884, 9.73114
1499429601551, 294515.193020267, 0.52368164, 1.6151733, 9.652679
1499429601571, 294515.21316186903, 0.4256134, 1.6347809, 9.593842
1499429601591, 294515.233303471, 0.28831482, 1.6151733, 9.69191
1499429601611, 294515.25344507204, 0.26870728, 1.5955505, 9.750748
